Name,Wavelength,FWHM
B001,443,20
B002,490,65
B003,560,35
B004,665,30
B005,705,15
B006,740,15
B007,783,20
B008,842,115
B009,865,20
B010,945,20
B011,1375,30
B012,1610,90
B013,2190,180
