Name,Wavelength,FWHM,SNR
B01,412,20,300
B02,443,20,330
B03,490,65,293
B04,560,35,315
B05,600,30,300
B06,620,20,200
B07,650,20,200
B08,665,30,260
B09,705,15,253
B10,740,15,220
B11,842,115,270
B12,865,20,357
B13,945,20,227
B14,985,20,130
B15,1035,20,130
B16,1090,20,130
B17,1375,30,200
B18,1610,90,87
B19,2038,25,116
B20,2108,40,116
B21,2211,40,116
