Name,Wavelength,FWHM
B01,412,20
B02,443,20
B03,490,65
B04,560,35
B05,600,30
B06,620,20
B07,650,20
B08,665,30
B09,705,15
B10,740,15
B11,842,115
B12,865,20
B13,945,20
B14,985,20
B15,1035,20
B16,1090,20
B17,1375,30
B18,1610,90
B19,2038,25
B20,2108,40
B21,2211,40
